https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011293.pub3/full| Allergy & intolerance | Sublingual immunotherapy for asthma | Rebecca Fortescue, Kayleigh M Kew, Marco Shiu Tsun Leung | 14 September 2020
https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006474.pub3/full | Allergy & intolerance | Prebiotics in infants for prevention of allergy | David A Osborn, John KH Sinn | 28 March 2013

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007770.pub2/full | Allergy & intolerance | Oral H1 antihistamines as monotherapy for eczema | Christian J Apfelbacher, Esther J van Zuuren, Zbys Fedorowicz, Aldrin Jupiter, Uwe Matterne, Elke Weisshaar | 28 February 2013

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009542.pub2/full | Allergy & intolerance | Oral immunotherapy for milk allergy | Joanne P Yeung, Lorie A Kloda, Jason McDevitt, Moshe Ben‐Shoshan, Reza Alizadehfar | 14 November 2012

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009568.pub2/full | Blood disorders | Paediatric formulations of artemisinin‐based combination therapies for treating uncomplicated malaria in children | Sabine Bélard, Michael Ramharter, Florian Kurth | 8 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007652.pub7/full | Blood disorders | Gene therapy for sickle cell disease | Abiola Olowoyeye, Charles I Okwundu | 30 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013218.pub2/full | Blood disorders | Rapid diagnostic tests for <i>Plasmodium vivax</i> malaria in endemic countries | Ridhi Agarwal, Leslie Choi, Samuel Johnson, Yemisi Takwoingi | 4 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004448.pub7/full | Blood disorders | Phytomedicines (medicines derived from plants) for sickle cell disease | Oluseyi Oniyangi, Damian H Cohall | 25 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010458.pub3/full | Blood disorders | Tafenoquine for preventing relapse in people with <i>Plasmodium vivax</i> malaria | Chaturaka Rodrigo, Senaka Rajapakse, Deepika Fernando | 6 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010810.pub4/full | Blood disorders | Rituximab for treating inhibitors in people with inherited severe hemophilia | Lucan Jiang, Yi Liu, Lingli Zhang, Cristina Santoro, Armando Rodriguez | 3 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012022.pub2/full | Blood disorders | Prognostic models for newly‐diagnosed chronic lymphocytic leukaemia in adults: a systematic review and meta‐analysis | Nina Kreuzberger, Johanna AAG Damen, Marialena Trivella, Lise J Estcourt, Angela Aldin, Lisa Umlauff, Maria DLA Vazquez-Montes, Robert Wolff, Karel GM Moons, Ina Monsef, Farid Foroutan, Karl-Anton Kreuzer, Nicole Skoetz | 31 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003146.pub4/full | Blood disorders | Blood transfusion for preventing primary and secondary stroke in people with sickle cell disease | Lise J Estcourt, Ruchika Kohli, Sally Hopewell, Marialena Trivella, Winfred C Wang | 27 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011302.pub2/full | Blood disorders | Wheat flour fortification with iron for reducing anaemia and improving iron status in populations | Martha S Field, Prasanna Mithra, Diana Estevez, Juan Pablo Peña-Rosas | 17 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001304.pub3/full | Blood disorders | Dietary interventions for phenylketonuria | Elisabeth Jameson, Tracey Remmington | 16 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008946.pub3/full | Blood disorders | Interventions for mycosis fungoides | Arash Valipour, Manuel Jäger, Peggy Wu, Jochen Schmitt, Charles Bunch, Tobias Weberschock | 7 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007001.pub5/full | Blood disorders | Hematopoietic stem cell transplantation for people with sickle cell disease | Chioma Oringanje, Eneida Nemecek, Oluseyi Oniyangi | 3 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003149.pub4/full | Blood disorders | Preoperative blood transfusions for sickle cell disease | Lise J Estcourt, Catherine Kimber, Marialena Trivella, Carolyn Doree, Sally Hopewell | 2 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010985.pub4/full | Blood disorders | Interventions for treating intrahepatic cholestasis in people with sickle cell disease | Arturo J Martí-Carvajal, Cristina Elena Martí-Amarista | 22 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010858.pub3/full | Blood disorders | Vitamin D supplementation for sickle cell disease | Htoo Htoo Kyaw Soe, Adinegara BL Abas, Nan Nitra Than, Han Ni, Jaspal Singh, Abdul Razzak Bin Mohd Said, Ifeyinwa Osunkwo | 28 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012284.pub3/full | Blood disorders | Growth hormone therapy for people with thalassaemia | Chin Fang Ngim, Nai Ming Lai, Janet YH Hong, Shir Ley Tan, Amutha Ramadas, Premala Muthukumarasamy, Meow-Keong Thong | 28 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010822.pub4/full | Blood disorders | Gene therapy for haemophilia | Akshay Sharma, Manu Easow Mathew, Vasumathi Sriganesh, Ulrike M Reiss | 28 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012389.pub3/full | Blood disorders | Interventions for preventing silent cerebral infarcts in people with sickle cell disease | Lise J Estcourt, Catherine Kimber, Sally Hopewell, Marialena Trivella, Carolyn Doree, Miguel R Abboud | 6 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004198.pub4/full | Blood disorders | Treatments for priapism in boys and men with sickle cell disease | Francis I Chinegwundoh, Sherie Smith, Kofi A Anie | 6 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010215.pub2/full | Blood disorders | Psychological interventions for people with hemophilia | Laura Palareti, Giannino Melotti, Frederica Cassis, Sarah J Nevitt, Alfonso Iorio | 18 March 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012762.pub2/full | Blood disorders | Transcutaneous electrical nerve stimulation (TENS) for pain management in sickle cell disease | Sudipta Pal, Ruchita Dixit, Soe Moe, Myron Anthony Godinho, Adinegara BL Abas, Samir K Ballas, Shanker Ram, Uduman Ali M Yousuf | 3 March 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004863.pub6/full | Blood disorders | Early erythropoiesis‐stimulating agents in preterm or low birth weight infants | Arne Ohlsson, Sanjay M Aher | 11 February 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004868.pub6/full | Blood disorders | Late erythropoiesis‐stimulating agents to prevent red blood cell transfusion in preterm or low birth weight infants | Sanjay M Aher, Arne Ohlsson | 28 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007843.pub4/full | Blood disorders | Blood transfusions for treating acute chest syndrome in people with sickle cell disease | Roya Dolatkhah, Saeed Dastgiri | 16 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013084.pub2/full | Blood disorders | Intravenous iron therapy for non‐anaemic, iron‐deficient adults | Lachlan F Miles, Edward Litton, Georgina Imberger, David Story | 20 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012110.pub2/full | Cancer | Body weight management in overweight and obese breast cancer survivors | Hassan Shaikh, Peter Bradhurst, Li Xin Ma, Sim Yee (Cindy) Tan, Sam J Egger, Janette L Vardy | 11 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013020.pub2/full | Cancer | Bisphosphonates or RANK‐ligand‐inhibitors for men with prostate cancer and bone metastases: a network meta‐analysis | Tina Jakob, Yonas Mehari Tesfamariam, Sascha Macherey, Kathrin Kuhr, Anne Adams, Ina Monsef, Axel Heidenreich, Nicole Skoetz | 3 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012078.pub2/full | Cancer | Salvage systemic therapy for advanced gastric and oesophago‐gastric junction adenocarcinoma | Yoko Tomita, Max Moldovan, Rachael Chang Lee, Amy HC Hsieh, Amanda Townsend, Timothy Price | 19 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003412.pub3/full | Cancer | Interventions for basal cell carcinoma of the skin | Jason Thomson, Sarah Hogan, Jo Leonardi-Bee, Hywel C Williams, Fiona J Bath-Hextall | 17 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011313.pub4/full | Cancer | Yttrium‐90 microsphere radioembolisation for unresectable hepatocellular carcinoma | Omar Abdel-Rahman, Zeinab Elsayed | 16 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013750/full | Cancer | Platinum‐containing regimens for triple‐negative metastatic breast cancer | Sam J Egger, Matthew Ming Ki Chan, Qingwei Luo, Nicholas Wilcken | 21 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012796.pub2/full | Cancer | Targeted therapy for metastatic renal cell carcinoma | Fabian Hofmann, Eu Chang Hwang, Thomas BL Lam, Axel Bex, Yuhong Yuan, Lorenzo SO Marconi, Börje Ljungberg | 14 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013399.pub2/full | Cancer | Prophylaxis of thromboembolism during therapy with asparaginase in adults with acute lymphoblastic leukaemia | Cecilie U Rank, Line Stensig Lynggaard, Bodil Als-Nielsen, Wendy Stock, Nina Toft, Ove Juul Nielsen, Thomas Leth Frandsen, Ruta Tuckuviene, Kjeld Schmiegelow | 10 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012780.pub2/full | Cancer | The effectiveness and cost‐effectiveness of hospital‐based specialist palliative care for adults with advanced illness and their caregivers | Sabrina Bajwah, Adejoke O Oluyase, Deokhee Yi, Wei Gao, Catherine J Evans, Gunn Grande, Chris Todd, Massimo Costantini, Fliss E Murtagh, Irene J Higginson | 30 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013564.pub2/full | Cancer | Interventions to reduce the time to diagnosis of brain tumours | Robin Grant, Therese Dowswell, Eve Tomlinson, Paul M Brennan, Fiona M Walter, Yoav Ben-Shlomo, David William Hunt, Helen Bulbeck, Ashleigh Kernohan, Tomos Robinson, Theresa A Lawrie | 4 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013641.pub2/full | Cancer | Retzius‐sparing versus standard robotic‐assisted laparoscopic prostatectomy for the treatment of clinically localized prostate cancer. | Joel E Rosenberg, Jae Hung Jung, Zach Edgerton, Hunju Lee, Solam Lee, Caitlin J Bakker, Philipp Dahm | 18 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001024.pub3/full | Cancer | Tamoxifen for hepatocellular carcinoma | Anna K Nowak, Michael Findlay, Gordana Culjak, Martin R Stockler | 3 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012022.pub2/full | Cancer | Prognostic models for newly‐diagnosed chronic lymphocytic leukaemia in adults: a systematic review and meta‐analysis | Nina Kreuzberger, Johanna AAG Damen, Marialena Trivella, Lise J Estcourt, Angela Aldin, Lisa Umlauff, Maria DLA Vazquez-Montes, Robert Wolff, Karel GM Moons, Ina Monsef, Farid Foroutan, Karl-Anton Kreuzer, Nicole Skoetz | 31 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009833.pub2/full | Cancer | (1→3)‐β‐D‐glucan testing for the detection of invasive fungal infections in immunocompromised or critically ill people | Sandra K White, Robert L Schmidt, Brandon S Walker, Kimberly E Hanson | 21 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006932.pub4/full | Cancer | Pharmacological treatment of depression in people with a primary brain tumour | Zachary Beevers, Sana Hussain, Florien W Boele, Alasdair G Rooney | 17 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008946.pub3/full | Cancer | Interventions for mycosis fungoides | Arash Valipour, Manuel Jäger, Peggy Wu, Jochen Schmitt, Charles Bunch, Tobias Weberschock | 7 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005583.pub3/full | Cancer | <i>Helicobacter pylori</i> eradication for the prevention of gastric neoplasia | Alexander C Ford, Yuhong Yuan, David Forman, Richard Hunt, Paul Moayyedi | 6 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006590.pub3/full | Cancer | Radical prostatectomy versus deferred treatment for localised prostate cancer | Robin WM Vernooij, Michelle Lancee, Anne Cleves, Philipp Dahm, Chris H Bangma, Katja KH Aben | 4 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007568.pub2/full | Cancer | Telephone interventions for symptom management in adults with cancer | Emma Ream, Amanda Euesden Hughes, Anna Cox, Katy Skarparis, Alison Richardson, Vibe H Pedersen, Theresa Wiseman, Angus Forbes, Andrew Bryant | 2 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007334.pub5/full | Cancer | Surgery versus radical endotherapies for early cancer and high‐grade dysplasia in Barrett's oesophagus | Cathy Bennett, Susi Green, John DeCaestecker, Max Almond, Hugh Barr, Pradeep Bhandari, Krish Ragunath, Rajvinder Singh, Janusz Jankowski | 22 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011475.pub3/full | Cancer | External beam radiation dose escalation for high grade glioma | Luluel Khan, Hany Soliman, Arjun Sahgal, James Perry, Wei Xu, May N Tsao | 21 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012864.pub2/full | Cancer | Physical activity interventions for disease‐related physical and mental health during and following treatment in people with non‐advanced colorectal cancer | Maresa McGettigan, Chris R Cardwell, Marie M Cantwell, Mark A Tully | 3 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013280.pub2/full | Cancer | Indocyanine green angiography for preventing postoperative mastectomy skin flap necrosis in immediate breast reconstruction | Tim Pruimboom, Rutger M Schols, Sander MJ Van Kuijk, René RWJ Van der Hulst, Shan S Qiu | 22 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010529.pub3/full | Cancer | Interventions for the management of malignant pleural effusions: a network meta‐analysis | Alexandra Dipper, Hayley E Jones, Rahul Bhatnagar, Nancy J Preston, Nick Maskell, Amelia O Clive | 21 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013261.pub2/full | Cancer | Treatment of newly diagnosed glioblastoma in the elderly: a network meta‐analysis | Catherine Hanna, Theresa A Lawrie, Ewelina Rogozińska, Ashleigh Kernohan, Sarah Jefferies, Helen Bulbeck, Usama M Ali, Tomos Robinson, Robin Grant | 23 March 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009861.pub3/full | Complementary & alternative medicine | Melatonin for preoperative and postoperative anxiety in adults | Bennedikte K Madsen, Dennis Zetner, Ann Merete Møller, Jacob Rosenberg | 8 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003048.pub4/full | Complementary & alternative medicine | Probiotics for treating acute infectious diarrhoea | Shelui Collinson, Andrew Deans, April Padua-Zamora, Germana V Gregorio, Chao Li, Leonila F Dans, Stephen J Allen | 8 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009280.pub3/full | Complementary & alternative medicine | Iron chelators for acute stroke | Lars E Van der Loo, René Aquarius, Onno Teernstra, Catharina JM Klijn, Tomas Menovsky, J Marc C Dijk, Ronald Bartels, Hieronymus Damianus Boogaarts | 25 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009178.pub4/full | Complementary & alternative medicine | Pharmacotherapies for sleep disturbances in dementia | Jenny McCleery, Ann L Sharpley | 15 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009645.pub4/full | Complementary & alternative medicine | Transcranial direct current stimulation (tDCS) for improving activities of daily living, and physical and cognitive functioning, in people after stroke | Bernhard Elsner, Joachim Kugler, Marcus Pohl, Jan Mehrholz | 11 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003229.pub4/full | Complementary & alternative medicine | Phlebotonics for venous insufficiency | Maria José Martinez-Zapata, Robin WM Vernooij, Daniel Simancas-Racines, Sonia Maria Uriona Tuma, Airton T Stein, Rosa Maria M Moreno Carriles, Emilio Vargas, Xavier Bonfill Cosp | 3 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001892.pub5/full | Complementary & alternative medicine | Low protein diets for non‐diabetic adults with chronic kidney disease | Deirdre Hahn, Elisabeth M Hodson, Denis Fouque | 29 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005496.pub5/full | Complementary & alternative medicine | Probiotics to prevent necrotising enterocolitis in very preterm or very low birth weight infants | Sahar Sharif, Nicholas Meader, Sam J Oddie, Maria Ximena Rojas-Reyes, William McGuire | 15 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006304.pub4/full | Complementary & alternative medicine | Local cooling for relieving pain from perineal trauma sustained during childbirth | Christine E East, Emma DF Dorward, Rhiannon E Whale, Jiajia Liu | 9 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008294.pub5/full | Complementary & alternative medicine | Pine bark (<i>Pinus</i> spp.) extract for treating chronic disorders | Nina U Robertson, Anel Schoonees, Amanda Brand, Janicke Visser | 29 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004448.pub7/full | Complementary & alternative medicine | Phytomedicines (medicines derived from plants) for sickle cell disease | Oluseyi Oniyangi, Damian H Cohall | 25 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009402.pub3/full | Complementary & alternative medicine | Magnesium for skeletal muscle cramps | Scott R Garrison, Christina S Korownyk, Michael R Kolber, G Michael Allan, Vijaya M Musini, Ravneet K Sekhon, Nicolas Dugré | 21 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006946.pub4/full | Complementary & alternative medicine | Treatments for breast engorgement during lactation | Irena Zakarija-Grkovic, Fiona Stewart | 18 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009422.pub4/full | Complementary & alternative medicine | Vitamin E supplementation in people with cystic fibrosis | Peter O Okebukola, Sonal Kansra, Joanne Barrett | 6 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011216.pub2/full | Complementary & alternative medicine | Complementary and alternative therapies for post‐caesarean pain | Sandra A Zimpel, Maria Regina Torloni, Gustavo JM Porfírio, Ronald LG Flumignan, Edina MK da Silva | 1 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007807.pub4/full | Complementary & alternative medicine | Antioxidants for female subfertility | Marian G Showell, Rebecca Mackenzie-Proctor, Vanessa Jordan, Roger J Hart | 27 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000341.pub3/full | Complementary & alternative medicine | Fat supplementation of human milk for promoting growth in preterm infants | Emma A Amissah, Julie Brown, Jane E Harding | 25 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011737.pub3/full | Complementary & alternative medicine | Reduction in saturated fat intake for cardiovascular disease | Lee Hooper, Nicole Martin, Oluseyi F Jimoh, Christian Kirk, Eve Foster, Asmaa S Abdelhamid | 21 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003150.pub3/full | Complementary & alternative medicine | Aromatherapy for dementia | Emily L Ball, Bethan Owen-Booth, Amy Gray, Susan D Shenkin, Jonathan Hewitt, Jenny McCleery | 19 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006634.pub3/full | Complementary & alternative medicine | Probiotics for induction of remission in Crohn's disease | Berkeley N Limketkai, Anthony K Akobeng, Morris Gordon, Akinlolu Adedayo Adepoju | 17 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009169.pub3/full | Complementary & alternative medicine | Therapeutic ultrasound for chronic low back pain | Safoora Ebadi, Nicholas Henschke, Bijan Forogh, Noureddin Nakhostin Ansari, Maurits W Tulder, Arash Babaei-Ghazani, Ehsan Fallah | 5 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001903.pub5/full | Complementary & alternative medicine | Ketogenic diets for drug‐resistant epilepsy | Kirsty J Martin-McGill, Rebecca Bresnahan, Robert G Levy, Paul N Cooper | 24 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013333.pub2/full | Complementary & alternative medicine | Tea tree oil for Demodex blepharitis | Keyur Savla, Jimmy T Le, Andrew D Pucker | 20 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008428.pub3/full | Complementary & alternative medicine | Vitamin A and fish oils for preventing the progression of retinitis pigmentosa | Stephen G Schwartz, Xue Wang, Pamela Chavis, Ajay E Kuriyan, Samuel A Abariga | 18 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008482.pub6/full | Complementary & alternative medicine | Vitamin K supplementation for cystic fibrosis | Vanitha A Jagannath, Vidhu Thaker, Anne B Chang, Amy I Price | 4 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013046.pub2/full | Child health | Vitamin D supplementation for term breastfed infants to prevent vitamin D deficiency and improve bone health | May Loong Tan, Steven A Abrams, David A Osborn | 11 December 2020

